County,Turnout,State,Precincts,Votes,Republican,Democrat,Green,Libertarian,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino),African American,Native American,Asian American,Other Race,Latino,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Stanislaus,34.2,California,372,156141,46.73,47.35,1.46,3.89,24.7,75.3,16.3,5.1,75.9,27603.68,48.35,2.65,0.65,4.9,3,40.4,24.1,8.45,509809,40.2,15.75,0.441,22,27.05,16.8,25.2,3.35,11.2,16.55,0.40103375,32.5,4.4,3.9,0.06,44.1,0.318,0.171,0.308,0.083,427.6,131.7,0.201,0.152,507.82,6.36,60.8,6.9
Kern,34.3,California,642,217725,54.73,39.72,1.13,3.84,28.9,71.1,14.7,4.8,73,24244.89,40.2,5.5,0.65,3.75,2.25,47.65,32.3,10.2,810292,37,20.5,0.452,28.25,25.95,18.55,22.95,8.05,11.8,12.7,0.393636,30.6,4.7,4.2,0.07,62.8,0.373,0.16,0.278,0.078,656.3,269,0.219,0.133,567.89,8.49,63.4,6.6
Crowley,34.3,Colorado,9,1511,70.75,22.24,0.66,4.1,27.6,72.4,12.2,1.5,67.2,17152.33,61.7,8.75,1.65,0.8,0.75,26.4,21.05,21.65,6067,65.3,23.15,0.437,29.25,23.2,23.55,20.35,4.5,17.85,10.6,0.45843375,38.3,6.5,,0.1,57.6,0.266,0.155,0.243,0.063,139.5,,0.18,0.102,43.98,,,
Lewis,34.4,Washington,23,24995,65.11,28.95,1.17,3.98,15.1,84.9,15,5.8,73.45,26023.89,87,0.5,1.05,0.75,2.65,8.1,24.75,8.75,74457,33.1,13.35,0.405,18.7,26.95,17.75,22.7,3.4,11.85,17.3,0.76435475,41.1,4,3.4,0.06,43.8,0.275,0.201,0.324,0.106,295.1,46.8,0.183,0.124,231.64,3.49,83.3,4.3
Bee,34.5,Texas,18,8458,56.08,40.71,0.4,2.81,30.5,69.5,9.2,3.8,65.7,19006.54,33.5,8.85,0.4,0.55,0.75,55.9,26.15,17.3,32137,36.8,19.6,0.476,24.35,23.35,36.45,19.2,3.35,9.1,8.5,0.43264075,35.7,,,0.09,75.7,0.413,,0.3,0.095,676.1,775.1,0.226,0.07,271.79,,56.4,
Dooly,34.6,Georgia,5,3836,50.6,48.49,0,0.91,30.3,69.7,9.6,3.7,63.9,22945.94,44.2,49.45,0.1,0.3,0.4,5.5,54.35,21.6,13279,49.3,27.3,0.48,42.7,25.85,11.85,29.9,3,9.9,19.5,0.44294525,40.3,,,0.14,64.5,0.449,,0.317,0.131,644.4,514,0.237,0.131,431.92,,53.2,
Franklin,34.6,Washington,15,20584,55.18,38.08,0.94,4.77,32.4,67.6,14.6,4.6,68.95,22461.97,44.25,1.75,0.5,1.8,1.5,50.2,28.45,14.15,73960,16.5,20.2,0.429,27.15,23.35,19.9,20.15,11.75,9.55,15.3,0.4486905,28.4,4.2,2.6,0.07,75.1,0.344,0.117,0.322,0.091,361.9,114.5,0.249,0.094,293.21,4.21,42.2,5.2
Yuma,34.8,Arizona,44,40759,50.51,44.99,1.07,3.43,28.4,71.6,13.3,4.6,69.65,21877.51,37.25,1.7,1,1,1.35,57.7,31,12.6,192367,34.9,20.4,0.423,29.5,24.2,21.4,23.85,6,12.9,11.6,0.4723565,33.9,4,3.1,0.06,68.5,0.371,0.14,0.311,0.097,463,115.1,0.241,0.275,372.21,4.53,55.2,6.1
Napa,34.8,California,167,40393,29.57,64.77,1.6,3.77,17.8,82.2,30,10.2,76.9,34239.58,58.45,1.85,0.45,6.1,2.45,30.7,11.5,7.2,134328,56.3,9.85,0.461,11.65,34.65,18.65,22.05,4.4,8.65,11.6,0.440573,39.4,3.4,4,0.06,26.1,0.267,0.085,0.236,0.072,231,165.1,0.185,0.078,411.93,1.93,47.2,5
Forest,35.1,Pennsylvania,9,2398,70.06,26.11,0.79,2.5,19.3,80.7,9.6,5.2,54.7,15871.75,76.8,17.4,0.2,0.15,0.55,4.9,22.3,6.9,7263,60.3,12.6,0.399,16.45,20.4,23.25,21,1.4,11.85,22.1,0.6225375,42.4,4.8,7.3,,13.1,0.264,0.335,0.325,0.112,92.2,140,0.139,0.095,283.66,,73.8,
Pinal,35.2,Arizona,102,93805,57.41,38.1,1.03,3.46,16.3,83.7,17.9,5.9,69.8,30916.07,58.45,3.85,4.75,1.45,2.35,29.15,20.35,7.95,335941,27.8,13.7,0.396,18.8,31.05,17.75,26.1,1.7,11.95,11.4,0.4311135,35.7,3.5,3.5,0.07,60.6,0.335,0.173,0.314,0.104,281.7,174.1,0.194,0.089,228.8,6.78,67.5,6.6
Howard,35.2,Texas,13,8692,76.33,20.34,0.64,2.68,29.2,70.8,10.1,3.4,68.65,22217.46,52.75,4.7,0.4,0.75,1.65,39.7,38.7,9.85,33668,38.4,19.2,0.437,25.95,27.05,21.5,21.95,0.65,15.75,13.15,0.43841875,38.3,4.6,,0.1,86.1,0.455,,0.323,0.106,566.6,204.2,0.231,0.061,576.37,4.2,71.7,8.9
Gilmer,35.3,West Virginia,12,2528,74.72,21.24,0.95,2.69,25.1,74.9,12.2,4.3,77.7,11725.97,78.65,12.3,0.55,0.75,2.55,5.3,49.65,14.45,7791,44.4,29.4,0.477,33.75,21.85,34.9,18,0.2,11.7,13.45,0.637257,38.6,4.7,4.4,0.09,23.7,0.305,0.284,0.356,0.11,126.4,218.3,0.216,0.07,350.16,,78.6,
Comanche,35.4,Oklahoma,39,32504,58.93,35.19,0,5.88,11.5,88.5,19.8,6.7,65.4,23197.54,60.35,17,5.05,1.95,5.2,10.4,32.4,8.65,118463,37.4,17.4,0.419,25.2,30.2,20.45,25.95,0.45,10.85,12.1,0.40956275,31.6,5.1,4.8,0.09,56,0.435,0.296,0.345,0.109,921.2,188.9,0.183,0.066,801.29,7.84,68.5,9.3
Riley,35.5,Kansas,56,20475,47.95,43.43,1.89,6.74,5.8,94.2,42.3,18.8,79.65,16029.4,80.75,6.2,0.4,3.7,3.15,5.8,21.4,6.15,70410,40.4,25.35,0.474,15.65,38.6,21.2,24.15,0.55,8,7.5,0.6616415,24.1,2.4,2.8,0.06,18.4,0.222,0.156,0.265,0.064,467.1,58.8,0.139,0.045,280.76,,33.9,7.3
Saint Francis,35.7,Arkansas,15,7430,43,54.25,0.24,0.86,26.7,73.3,10.5,4.2,65.8,20984.48,42.8,50.7,0.35,0.35,1,4.8,51.1,25.9,27513,46,30.15,0.475,44.65,26.05,20.9,21.7,2.6,10.25,18.45,0.4426615,36.8,4.7,5.9,0.12,94.9,0.662,0.218,0.386,0.126,1079.7,285.7,0.192,0.11,506.87,10.55,74.9,9.6
Cache,35.7,Utah,85,35879,46.39,18.69,0.63,3.23,7.6,92.4,35.1,12.2,76.55,18549.44,86.25,0.55,0.6,1.9,1.4,9.35,15.7,8.15,111001,32.8,15.1,0.423,13.25,33.95,16.35,25.35,0.85,7.85,15.7,0.75327175,25.2,3.1,2.5,0.06,21.5,0.147,0.046,0.235,0.06,185.7,40.8,0.158,0.044,62.85,,39.7,3.7
Dallam,35.9,Texas,6,1535,81.95,14.46,0.59,3,28.2,71.8,8.4,2.3,67.7,19980.11,58.65,1.8,0.75,0.45,1.3,37.05,14.8,12.7,6428,48.8,12.5,0.396,13.1,18.8,16.35,20.5,6.05,15.7,22.6,0.481822,33.4,5.4,,0.08,103.2,0.309,,0.284,0.091,451.5,92.5,0.346,0.039,237.07,,68.1,
Walker,36,Texas,17,19683,65.43,30.92,0.82,2.84,19.7,80.3,17.1,5.5,78.8,19808.18,58.8,22.65,0.35,0.95,1.1,16.15,29.7,8.35,65894,17.8,22.95,0.485,24.1,30.25,24.45,24.45,1.05,7.7,12,0.423352,34.3,6.2,5.3,0.09,27.4,0.353,0.185,0.326,0.096,455.3,3764.1,0.28,0.067,391.65,4.77,56.4,5.3
Todd,36.1,South Dakota,9,2125,22.92,70.82,0,4.52,17,83,18.1,6.4,73.3,18469.07,11.45,0.2,82.4,0.4,2.15,3.45,67.55,38.55,9804,55.7,48.05,0.498,59,36.3,21.85,21.1,4.85,4.7,11.2,0.69375875,23.4,3.9,3.1,0.08,118.8,0.628,0.394,0.421,0.149,1883.5,,0.153,0.09,,,236.3,13.7
Liberty,36.3,Georgia,13,16082,38.09,59.27,0,2.65,11.3,88.7,16.3,5.5,64,25732.55,44.75,41,0.5,1.85,3.6,8.35,29.3,15,62223,41.2,17.65,0.397,24.65,24.25,21,27.95,0,12.6,14.3,0.37699175,27.3,4.6,3.1,0.09,66.1,0.368,0.263,0.331,0.102,557.7,243.1,0.199,0.097,402.33,7.59,65.3,10
Tattnall,36.3,Georgia,8,6879,74.02,24.39,0,1.58,26,74,11.9,4.8,64,21881.1,58.7,27.95,0.1,1.25,1.1,10.9,34.05,13.25,24415,48.3,20.5,0.44,23.5,24.85,19.95,18.05,5.3,16.75,15.05,0.4348485,35.8,5.7,5.5,0.09,87.7,0.406,0.315,0.315,0.105,358.1,229.8,0.268,0.101,154.11,10.15,82.5,11.3
Jackson,36.4,Arkansas,20,5151,63.33,30.73,0.5,2.15,27.7,72.3,7,2.2,72.4,19088.8,78,17.95,0.55,0.15,1.25,2.1,48.7,19.1,17517,58.8,27.55,0.451,43.05,22.4,17.9,24.5,2.85,9.75,22.55,0.64125,40,4.7,4.7,0.11,75.8,0.438,0.27,0.371,0.138,554.1,131,0.205,0.096,461.01,,99.9,
Willacy,36.4,Texas,13,5082,30.32,67.22,0.61,1.85,42.6,57.4,8.6,3.1,72.3,20599.98,10.55,1.8,0.15,0.4,0.3,86.85,54.05,39.15,21249,42.9,45.15,0.545,54.35,23,35.05,22.3,5.4,6.1,8.1,0.76577375,31.6,,,0.08,76.5,0.42,,0.285,0.088,316.8,264.7,0.298,0.14,1164.82,,40.4,
San Diego,36.5,California,2175,1011651,38.24,56.07,1.59,3.87,14.7,85.3,34.1,12.7,76.05,32687.73,49.85,4.8,0.45,10.3,3.4,31.2,16.05,7.7,3041428,52.2,11.9,0.452,15.75,39.5,17.95,25.3,0.4,8.5,8.25,0.3599355,34.5,3.5,3.7,0.07,33.6,0.291,0.121,0.231,0.075,488.7,457.5,0.19,0.089,383.46,3.68,47.3,4.9
Fresno,36.7,California,592,250264,45.53,49.41,1.49,3.27,26.9,73.1,19.7,6.3,75.85,23679.84,34.15,4.85,0.6,9,2.2,49.2,34.15,10.5,910600,41.2,21.7,0.459,31.05,28.4,18.2,25.3,7.3,8.5,12.25,0.3696585,30.4,4.2,3.7,0.07,55.1,0.382,0.139,0.294,0.09,632.1,200.7,0.224,0.152,535.22,8.18,56.3,6.9
Payette,36.7,Idaho,10,5703,75.5,15.64,0.84,3.28,16.3,83.7,13.8,4.1,72.35,23086.49,81.6,0.15,0.85,0.65,2.05,14.75,30.95,8.2,22578,28.7,14.75,0.394,21.45,25,18.3,23.9,2.6,11.15,19.1,0.68814925,36.9,4.3,3.7,0.07,46.5,0.264,0.237,0.275,0.092,358,55.2,0.212,0.08,268.06,,68.6,8.6
McDowell,36.7,West Virginia,37,6179,74.67,23.13,0.44,1.46,40.4,59.6,6.3,2,63.3,22489.75,87.95,10.75,0.15,0.05,0.7,0.45,37.85,20.45,22542,26.6,33.3,0.452,45,28.35,17.55,20.5,0.1,17,16.5,0.78514825,43.7,6.5,5.5,0.12,87.1,0.378,0.353,0.367,0.165,124.3,70.2,0.216,0.097,326.86,13.68,171.9,16
Chester,36.8,Tennessee,11,4850,78.91,18.6,0.16,1.96,23,77,13.8,6,79.65,22180.29,86.8,8.9,0.3,0.4,1.85,1.75,20.05,17.65,16618,20.1,15.2,0.396,17.7,26.9,15.8,24.85,0.6,14.45,17.4,0.7620185,36.1,3.4,2.7,0.07,32.4,0.345,0.207,0.359,0.123,338.4,48.1,0.177,0.085,365.69,9.44,89.3,
Newton,36.8,Texas,23,4010,73.84,24.39,0.27,1.5,22.3,77.7,8.6,1.8,74.8,22377.57,73.8,20.5,0.25,0.4,1.4,3.55,10.5,12,14136,5.3,15.1,0.46,13.3,22.25,19.3,20.8,2.7,20.5,14.5,0.5881475,40.3,,,0.1,56.5,0.453,,0.323,0.118,276.7,48.6,0.242,0.118,72.39,,122.3,
