County,Turnout,State,Precincts,Votes,Republican,Democrat,Green,Libertarian,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino),African American,Native American,Asian American,Other Race,Latino,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Knox,60.6,Missouri,7,1867,75.68,20.3,0.64,2.84,13.7,86.3,13.9,7.3,70.3,20533.79,97.6,0.25,0.35,0.15,1,0.6,31.5,7.5,4085,81.9,18.9,0.467,26.75,28.95,16.4,18.95,9.2,8.05,18.35,0.95273275,44.1,3.1,,0.06,33.7,0.234,,0.329,0.111,,,0.242,0.049,130.5,,96.8,
Bedford,60.6,Pennsylvania,40,23504,82.77,15.37,0.43,1.1,16.1,83.9,12.5,3.8,74.2,24113.22,97.6,0.45,0.1,0.25,0.8,0.85,27.45,10.55,49705,43.4,13.85,0.408,20.85,23,18.15,21.8,1.3,12.35,23.45,0.95273975,42.9,3.4,2.9,0.05,30.2,0.255,0.229,0.333,0.124,66.3,62,0.143,0.093,102.34,,71.4,6.6
Lawrence,60.6,South Dakota,11,11842,62.58,28.34,0,7.89,7.4,92.6,31.8,10.1,75.95,21122.46,93.1,0.2,1.9,1,1.45,2.4,19.65,7.5,23628,31.1,15.25,0.455,16.4,29.7,24.25,25.25,0.5,12.45,7.75,0.86801225,39.4,3,2.5,0.08,20.3,0.275,0.215,0.244,0.078,242.7,,0.156,0.046,112.09,,61.7,
Fayette,60.6,Texas,27,11029,78.41,19.29,0.41,1.9,21,79,17.6,4.2,71.9,27462.74,74.65,6.45,0.25,0.4,0.7,17.55,23.25,11.7,23587,37.1,11.05,0.446,17.75,29.85,16.8,22.4,1.55,12.6,16.7,0.592294,45.6,3.8,,0.08,38.7,0.227,,0.278,0.113,234.5,70,0.237,0.048,129.75,5.98,91.8,
ADDISON,60.6,Vermont,23,17592,30.11,63.76,2.05,3.63,10.2,89.8,32.6,13.8,79.9,26488.13,94.85,0.7,0.25,1.2,1.35,1.65,12.4,7,36740,39,11.35,0.404,11.45,38.75,16,19.75,2.95,11.5,11.05,0.900306,40.4,2.9,3.2,0.06,10.9,0.316,0.145,0.229,0.072,163.3,62.2,0.085,0.046,83.39,,63,
Southampton,60.6,Virginia,14,8872,56.75,40.52,0.3,1.76,26.6,73.4,12.6,3.5,73.6,26424.3,58.85,38.7,0.25,0.3,1.1,0.8,27.4,15.15,18373,43.5,15.6,0.412,22.4,24.95,17.9,19.75,2.7,14.25,20.5,0.4963015,42.6,2.4,,0.11,32.6,0.382,0.203,0.314,0.14,526.9,176,0.153,0.071,141,8.61,73.5,
Tucker,60.6,West Virginia,11,3464,73.82,21.65,1.33,2.92,18.5,81.5,13.7,5.1,71.85,20288.11,99.2,0.1,0.1,0.05,0.3,0.3,31.4,19.65,7001,26.7,18.25,0.466,23.75,26.45,23.9,16.1,1.6,17.35,14.7,0.98408425,45.4,4.6,4.2,0.07,38.9,0.2,0.257,0.301,0.122,99.7,,0.208,0.094,353.61,,78.4,
Marinette,60.6,Wisconsin,30,19979,65.04,31.25,0.66,2.54,12.4,87.6,14.2,4,73.85,25471.57,96.55,0.3,0.5,0.5,1,1.15,19.25,9.5,42057,44.9,13.25,0.43,16.6,24.8,17.55,20.2,1.55,10.6,25.3,0.9324815,44.8,3.9,3.5,0.07,25.9,0.298,0.265,0.296,0.107,148.8,27.5,0.109,0.08,67.56,,70.4,
Elmore,60.7,Alabama,30,36905,74.84,22.86,0.3,2,16.2,83.8,20.2,6.9,72.9,28575.6,74.85,20.65,0.35,0.55,1.35,2.25,18.3,10.2,78008,45.8,12.75,0.405,17.4,32.65,14.5,26.1,0.15,12.4,14.2,0.6036255,37.3,4.4,4.4,0.09,42.3,0.302,0.214,0.306,0.123,499,224.1,0.14,0.068,142.74,6.2,78.1,7.4
Ohio,60.7,Indiana,11,2917,72.61,23.52,0,3.87,18.8,81.2,12.1,3.6,75.3,29594.57,97.4,0.45,0.1,0.15,0.65,1.2,18.55,7.9,5999,69,7.95,0.398,10.85,19.95,21.75,25.3,0,11,22.1,0.94888575,41.8,6.2,,0.06,32.9,0.271,0.284,0.308,0.112,247.3,,0.158,0.085,,,,
Monroe,60.7,Kentucky,12,4991,85.71,12.04,0.26,1.52,25.4,74.6,11.6,3.6,75.7,20696.5,93.6,2.65,0.25,0.1,0.55,2.85,35.15,29.45,11306,20.8,27.3,0.465,39.75,30,15.2,23.95,1.95,11.35,17.6,0.877648,41.7,4.6,4.2,0.09,54.3,0.272,0.246,0.358,0.125,91.4,118.6,0.214,0.073,36.97,,126.3,
Prince George's,60.7,Maryland,274,351091,8.34,89.33,1.2,1.13,14.2,85.8,29.6,12.1,77.55,38176.49,16.5,63.4,0.2,3.95,2.25,13.65,9.15,6.85,849203,49.7,7.65,0.38,9.3,38.65,17.7,25.35,0.1,9.65,8.5,0.44988375,34.6,2.9,3,0.1,35.3,0.437,0.139,0.339,0.111,698.6,830.1,0.161,0.068,702.44,15.63,51.7,10.8
Ogemaw,60.7,Michigan,21,10386,65.73,29.17,1.14,3.4,18.7,81.3,10.7,4.1,76.85,18702.78,96,0.1,0.5,0.4,1.65,1.4,35.45,9.8,21529,38.3,18.25,0.434,25.95,25.25,19.7,26.35,1.2,10.65,16.75,0.92211025,46.6,3.7,4.2,0.06,34.4,0.376,0.199,0.344,0.121,111.3,,0.157,0.102,220.07,,77.7,
Covington,60.7,Mississippi,17,8790,61.7,37.17,0.14,0.69,21.2,78.8,15.8,4.1,74.7,23531.97,62.2,35.05,0.15,0.4,0.75,1.5,39.3,24.3,19941,50.8,25.65,0.464,34.8,26.35,14.35,22.4,2.35,12.6,21.95,0.51003375,36.8,5.3,3.1,0.11,73.3,0.473,0.259,0.386,0.132,687.8,227.8,0.226,0.08,,8.77,98.2,13.6
Westchester,60.7,New York,949,378506,32.14,64.91,1.06,1.9,12.6,87.4,44.5,22.1,83.8,42560.2,59.1,13.3,0.1,5.45,1.8,20.25,12.75,7.25,949081,67.9,8.05,0.535,10.35,45.6,16.9,23.65,0.1,7.6,6.1,0.4112715,39.7,3.1,2.8,0.08,16.8,0.273,0.13,0.172,0.082,313.9,474.3,0.122,0.072,257.92,2.82,32,4.9
Graham,60.7,North Carolina,4,4094,79.63,18.59,0,1.78,20.6,79.4,13,4.2,74.05,21618.68,89.4,0.25,6.85,0.15,1.35,2,42.15,19.1,8412,46.6,20.4,0.463,26.65,20.4,26.2,20.85,1.4,14.2,17.05,0.804519,42.1,3.1,3.7,0.08,64.4,0.153,0.224,0.295,0.122,125,,0.227,0.168,,,103.5,
Pitt,60.7,North Carolina,40,78264,44.96,52.34,0,2.69,14.9,85.1,28.2,10.4,81.15,21973,58.3,33.4,0.25,1.35,1.8,4.95,34.5,13.5,160039,55.1,23.9,0.49,26.05,36.7,18.35,24.6,0.8,8.15,11.3,0.45440775,30.9,3.6,3.2,0.11,29,0.446,0.192,0.357,0.089,1143,340,0.169,0.093,,8.1,56.4,10.3
Summit,60.7,Ohio,420,249937,43.82,51.98,0.9,2.89,10.5,89.5,29.2,10,80.2,29918.01,80.5,14.05,0.2,2.05,1.8,1.4,22.65,7.95,543001,52.4,13.4,0.456,19,35.9,16.45,26.45,0.1,7.2,13.9,0.6687095,39.5,3.6,3.6,0.09,33.9,0.343,0.187,0.292,0.104,442.4,145.9,0.141,0.068,417.92,5.07,54.6,7.4
Douglas,60.7,Oregon,28,51350,66.43,27.05,1.92,4.59,13.6,86.4,15.5,5.5,74,22380.89,90.1,0.3,1.5,0.9,2.8,4.4,22.45,8.2,105526,38.8,14.65,0.414,21.8,25.85,19.7,24.25,2.75,10.2,17.25,0.814836,45.3,5.4,4,0.07,40,0.362,0.241,0.328,0.122,203.7,65.9,0.187,0.122,113.8,2.68,85.2,7.3
Centre,60.7,Pennsylvania,91,75394,46.55,48.49,1.05,3.46,7.4,92.6,40,19.2,84.55,17460.41,88.4,2.9,0.15,4.95,1.25,2.35,13.9,4.75,149148,52.4,18.5,0.467,11.95,41.6,18.2,22.15,0.5,7.65,9.85,0.785458,28.4,3.1,3,0.06,6.4,0.232,0.122,0.252,0.073,245,113.1,0.118,0.059,113.06,,36.2,6.5
Aiken,60.7,South Carolina,84,74773,61.49,34,0.61,2.4,16.3,83.7,23.5,8.6,76.75,29120.22,68.3,24.9,0.35,0.75,1.55,4.25,28.15,13.7,156373,38.8,16.35,0.463,23.3,32.95,16.7,22.5,0.75,11.05,16.05,0.530605,39.6,3.5,3.6,0.1,45.8,0.421,0.189,0.319,0.11,514.1,298.5,0.173,0.082,401.2,7.03,75.6,9.7
Beaver,60.7,Utah,9,2490,73.82,10.6,0.4,1.45,9.7,90.3,10.4,2.1,75.1,20678.03,88.75,0.1,0.4,0.55,0.6,9.65,27.8,12.15,6384,12.4,17.35,0.4,25.95,26.55,17.8,24.15,9.25,8.2,13.95,0.79705175,31.7,2.7,2,0.07,44.2,0.207,,0.283,0.088,212.3,,0.208,0.059,76.98,,71.6,
Autauga,60.8,Alabama,20,24661,73.44,23.96,0.43,2.18,14.7,85.3,21.7,7.1,78.8,30043.21,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077,42.3,10.45,0.405,14,29.4,16.35,28.9,0.5,11.2,13.55,0.63346775,36.2,5.1,3.6,0.09,39,0.301,0.217,0.305,0.118,446.9,181.1,0.139,0.065,302.91,3.57,69.6,9
Limestone,60.8,Alabama,27,39400,73.16,23.71,0.51,2.63,19.6,80.4,20.8,6.3,73.55,27180.96,79.7,12.75,0.55,0.9,1.3,4.8,24.4,11.25,78429,31.5,13.15,0.435,17.3,31.4,14.3,23.15,0.95,11.05,19.15,0.6540495,38.5,3.6,3.1,0.09,45.6,0.278,0.219,0.338,0.107,319.8,161.6,0.164,0.062,108.75,5.62,64.7,7.3
Adams,60.8,Colorado,249,175125,42.15,49.38,1.28,4.93,19,81,20.3,5.8,70.5,31308.77,54.85,2.85,0.55,3.35,2,36.4,21.5,9.2,430521,36.5,13.5,0.403,19.7,27.6,16.15,26.95,0.2,14.7,14.35,0.435713,32.2,3.5,3.6,0.09,55.2,0.308,0.216,0.25,0.067,448.3,178.8,0.216,0.092,411.51,4.79,60.5,6.7
Alamosa,60.8,Colorado,8,6897,43.95,45.93,1.7,5.79,13.6,86.4,26.6,13.5,86.05,19351.68,50.15,0.65,0.55,0.75,2.9,44.9,40.8,20.7,15399,35.6,25.8,0.474,30.05,35.45,16.3,27.65,3.1,10.7,6.75,0.454073,32.6,3.5,3.1,0.11,58.2,0.287,0.173,0.205,0.065,432.8,78,0.2,0.091,338.67,,85.1,
Pawnee,60.8,Nebraska,5,1314,73.82,21.23,0.76,4.19,12,88,14.8,3.6,79.75,26377.97,97.45,0.15,0.4,0.15,0.85,1,17.05,12.2,2727,63.2,12.05,0.382,14.25,30.25,20.4,18.75,1.85,9.3,19.45,0.949843,48.6,2.2,2.3,0.13,,0.149,0.088,0.33,0.118,,,0.151,0.031,36.9,,151.9,
Wheeler,60.8,Texas,11,2306,90.5,8.41,0.17,0.91,20.6,79.4,15.1,3.8,74.2,22253.26,71.95,3.1,0.35,0.6,1.6,22.4,31.7,11.3,5086,54.7,15,0.513,22.7,25.9,19.95,16.75,3.4,19.3,14.7,0.5691215,40.3,,,0.07,65.7,0.277,,0.296,0.112,201.3,,0.295,0.036,236.23,,110.8,
Halifax,60.8,Virginia,22,16946,57.23,40.66,0.26,1.4,27.1,72.9,13.2,6,74.8,25522.53,60.25,36.65,0.2,0.35,1,1.65,26.8,20.55,35850,32.9,19.25,0.473,26,27.7,16.5,23,0.8,10,21.95,0.497717,43.9,3.8,3.8,0.11,44.5,0.414,0.211,0.326,0.143,540.8,248.5,0.165,0.094,123.73,6.68,94.7,13.3
Taylor,60.8,Wisconsin,27,9417,69.97,25.46,0.71,2.96,15.4,84.6,13.6,5,72.8,26822.52,97.25,0.2,0.3,0.45,0.55,1.3,19,14.2,20006,44.3,12.1,0.41,14.9,25.5,13.15,16.2,2.8,11.1,31.25,0.94598875,41.7,2.4,2.7,0.06,19.8,0.245,0.166,0.292,0.093,183.9,,0.109,0.078,54.35,,51.5,
Highlands,60.9,Florida,25,45589,64.73,32.69,0.41,1.86,21.2,78.8,14.6,5,71.45,20192.15,71.5,8.85,0.35,1.35,1.2,16.8,32.5,9.45,98262,47.2,16.65,0.413,27.1,25.2,20.75,26.35,5.2,13.05,9.5,0.54761975,50.7,3.8,4.2,0.08,56.2,0.368,0.186,0.302,0.137,283.9,233.6,0.28,0.093,286.1,4.39,73.9,6.6
Latah,60.9,Idaho,33,18146,39.98,44.6,2.55,6.6,6.5,93.5,41.8,19,85.3,15180.8,91.05,0.8,0.45,1.9,2.65,3.15,28.45,4.7,37377,46.2,22.2,0.452,18,38.3,19.95,22.6,2.55,8.05,8.5,0.83115,27.9,3.6,2.8,0.05,9.7,0.207,0.142,0.248,0.073,278.5,65,0.177,0.064,106.53,,59,
Des Moines,60.9,Iowa,17,18713,50.65,43.7,0.71,3.38,10.3,89.7,17.6,5.3,75.1,24628.3,90.25,4.3,0.25,0.85,1.9,2.5,23.25,6.3,40512,38,13.35,0.43,19.55,27.9,19.75,21.05,0.25,9.05,21.95,0.81741975,41.5,3.6,3,0.08,48.2,0.332,0.208,0.323,0.118,550.2,64.7,0.097,0.064,474.22,3.54,74,6.3
Pottawattamie,60.9,Iowa,41,42226,57.88,36.33,0.77,3.47,11.5,88.5,17.3,5.1,74.25,28928.28,91.1,1.15,0.35,0.6,1.35,5.45,21.1,7.9,91392,43.3,11.7,0.399,16.95,28.2,17.15,28.45,0.7,10.95,14.45,0.833254,38.2,2.9,3.2,0.08,40.4,0.368,0.215,0.336,0.1,321.9,96.5,0.115,0.046,720.05,3.75,59.9,7.2
Crawford,60.9,Michigan,10,6833,63.72,30.88,0.97,3.91,15.7,84.3,14.1,4.1,73.2,19397.19,95.05,1.5,0.45,0.4,1.3,1.35,35.6,8.2,14296,46.3,17.55,0.441,31,28.7,21.4,22.1,0.3,11.65,15.9,0.90406275,46.1,,,0.09,43.7,0.363,0.351,0.297,0.11,171.3,,0.143,0.101,319.59,,62.8,
Pettis,60.9,Missouri,19,18045,70.89,23.95,0.62,4.06,18.7,81.3,15.8,5.9,73.5,22056.7,87,2.9,0.35,0.65,1.9,7.2,20.45,11.25,41495,36.5,15.85,0.424,20.4,23.6,15.9,23.6,1.35,10.15,25.35,0.7633405,37,4.7,5.2,0.07,57.8,0.265,0.248,0.324,0.107,422,62.9,0.197,0.069,439,,65.4,7.7
Stokes,60.9,North Carolina,20,22182,76.53,20.94,0,2.53,20.8,79.2,10.9,2.9,73.8,26694.66,91.7,4.45,0.25,0.2,0.9,2.5,16.05,12.05,46658,37.2,11.55,0.4,16.75,22.65,14.2,25.75,0.55,15.45,21.4,0.8435855,41.4,3.8,5.3,0.09,33.8,0.321,0.361,0.256,0.103,230.7,81.3,0.17,0.089,341.33,3.96,81.3,9.6
Barnes,60.9,North Dakota,15,5253,60.08,30.4,0.89,7.73,11.5,88.5,25.8,8.2,79.55,26754.78,96.1,0.6,0.75,0.8,0.85,0.95,20.8,12.75,10953,50.6,11.4,0.458,12.35,34.5,19.7,18.45,2.15,10.4,14.8,0.92383975,44.5,2,2.2,0.05,21.6,0.269,0.164,0.27,0.064,189.9,,0.115,0.034,42.46,,74.2,
Adams,60.9,Pennsylvania,49,47138,66.29,29.86,0.85,2.59,15.3,84.7,18.5,7.3,79.3,28378.74,90.7,1.5,0.1,0.7,1.15,5.8,15.6,7.05,101209,46.1,7.3,0.388,10.4,27.7,16.8,23,1.15,11.1,20.35,0.82642025,40.2,4.2,3.2,0.07,26.5,0.278,0.21,0.283,0.115,175.5,72.3,0.125,0.066,150.51,1.71,56.5,8.6
Monroe,61,Georgia,14,12675,69.59,28.17,0,2.24,19.3,80.7,19,7,74,28173.32,71.65,24.65,0.1,0.4,1.25,1.9,22.55,12.45,25576,51.4,12.05,0.438,15.05,29.2,14.4,27.05,1.95,12.4,15.05,0.57466875,40,3.8,2,0.11,33.5,0.325,0.285,0.326,0.123,319.2,83.5,0.18,0.082,156.2,6.21,56.5,
Pickens,61,Georgia,13,13982,83.33,14.14,0,2.53,20.7,79.3,22,7.3,74.2,30272.33,94.15,1.65,0.35,0.35,0.9,2.65,15.75,10.85,29726,32.7,11.3,0.441,16.45,27.15,15.5,29.05,0.3,14.1,13.95,0.88750225,40.8,3.9,3.2,0.07,52.8,0.21,0.25,0.259,0.113,163.2,46.4,0.212,0.083,145.6,,91.9,8.4
Clark,61,Indiana,72,51104,58.73,36.77,0,4.5,14.6,85.4,17.8,5.8,73.15,29236.17,86.25,6.85,0.2,0.7,2.05,3.95,21.35,8.5,107756,36.5,11.7,0.394,17.1,28.55,17.9,26.95,0,9.4,17.15,0.750632,37.7,4,4.8,0.08,48.1,0.355,0.258,0.318,0.102,348.7,147.4,0.16,0.078,495.17,2.3,54.4,6
Gibson,61,Indiana,34,15472,71.61,24.04,0,4.35,11.4,88.6,14.3,4,77.75,28328.57,95,2.15,0.2,0.35,1.2,1.15,19.95,8.95,33168,59.5,11.65,0.409,15.4,22.1,16.45,20,1,11.1,29.35,0.90325475,40.1,4.1,4.2,0.07,38.9,0.24,0.257,0.292,0.102,316.4,42.2,0.128,0.074,97.33,,77.9,
Comanche,61,Kansas,5,857,82.26,11.9,1.17,4.67,7.3,92.7,16.4,5.3,71.8,25772.65,94.55,0.15,0.5,0.75,0.75,3.35,13.7,12.65,1870,25.9,9.65,0.434,11.6,30.2,11.6,16.8,3.85,11,26.55,0.89523225,50.6,,,,31.6,0.111,,0.304,0.11,,,0.181,0.036,,,,
Campbell,61,Kentucky,67,42489,58.96,34.5,0.99,4.21,13.1,86.9,26.3,10.3,81.95,31001.18,93.9,2.25,0.1,0.75,1.4,1.55,17,8.3,88922,56.4,10.85,0.441,15.85,35.1,14.9,28.55,0.2,8.85,12.35,0.88272075,37.2,4,4.9,0.09,38.9,0.308,0.243,0.305,0.101,337.6,121.9,0.126,0.076,208.73,2.74,67,8.2
Trigg,61,Kentucky,15,6745,73.06,23.53,0.67,1.79,17.4,82.6,15.8,7.5,82.2,25355.05,88.1,8.3,0.3,0.5,1.7,1.15,36.25,6.3,13785,26.9,14.2,0.465,23.55,24.9,14.8,21.9,1.6,11.85,24.95,0.78350525,43.7,4.4,4.7,0.09,44.3,0.319,0.264,0.334,0.117,258.7,64.3,0.193,0.087,87.46,,103.4,
Gladwin,61,Michigan,18,12472,65.14,30.42,0.7,3.15,15.8,84.2,11.1,4.3,74.35,21758.7,96.7,0.3,0.45,0.3,1.1,1.15,33.65,8.2,25982,32.8,19.25,0.431,31.85,22.95,19.9,24.85,1.55,12,18.75,0.9353805,46.5,4.6,4.2,0.08,36.5,0.292,0.278,0.342,0.119,181.8,31.1,0.154,0.125,174.96,,85.9,
Shannon,61,Missouri,8,3904,75.97,19.88,0.72,2.72,23.6,76.4,13.7,5,72.65,17167.43,94.25,0.1,1.65,0.55,2.15,1.25,39.8,13.85,8375,59.3,24.75,0.401,36.35,26.85,15.5,16.45,5.4,10.5,25.35,0.88922825,41.9,3.9,2.9,0.07,58,0.278,0.316,0.366,0.127,71.2,84.8,0.219,0.106,181.47,,92.8,
Meagher,61,Montana,1,972,74.9,19.65,1.03,4.22,17.7,82.3,15.8,2.7,77.05,17590.79,96.5,0.05,0.1,0.15,0.8,2.4,36.45,14.95,1759,71.3,17.95,0.452,20.3,29.25,27.8,12.3,9.35,11.8,9.45,0.9318685,43.2,2.9,,0.14,,0.354,0.177,0.256,0.088,,,0.276,0.061,159.04,,,
Cheyenne,61,Nebraska,9,4569,79.01,15.36,1.01,4.62,6.5,93.5,27.1,7.1,77.3,29217.26,91.5,0.1,0.6,1.3,0.7,5.8,14.75,9.4,9913,56.1,10.2,0.405,11.45,35.15,12,32.75,2.2,6.6,11.25,0.840844,41.3,3.3,2.5,0.08,34.3,0.299,0.179,0.284,0.085,130.3,84.7,0.109,0.031,59.74,,93.5,
Warren,61,New Jersey,90,48442,60.68,35.07,1.14,2.56,10.7,89.3,28.6,8.8,83.2,40296.39,86.25,3.15,0.05,2.5,1.25,6.65,11.95,5.7,109129,61.6,6.55,0.404,8.95,36.85,15.4,25.9,0.5,9.8,11.6,0.75010225,40.7,3.6,3.6,0.08,15.3,0.24,0.186,0.256,0.086,133.8,120.7,0.116,0.082,109.63,1.57,40.4,4.1
Livingston,61,New York,61,31363,61.25,33.41,1.37,3.97,11.3,88.7,23.4,9.9,81.35,24274.89,92.25,2.45,0.25,1.1,1.25,2.7,14.8,6.3,64277,51.4,12.1,0.392,12.4,33.25,17.45,23.6,1.6,10.45,13.65,0.852619,38.9,2.6,1.6,0.06,12.3,0.302,0.17,0.288,0.095,178.3,322.6,0.093,0.083,85.02,,46.4,4.8
McHenry,61,North Dakota,8,2687,74.1,17.64,0.67,6.77,14.5,85.5,14.3,2.8,76.2,25716.15,97.25,0.05,0.4,0.2,0.9,1.1,18.1,17.75,5335,39.6,12.85,0.421,17.6,30.55,14.85,23,3.6,13.55,14.4,0.9459785,45.5,2.6,2.8,0.05,21.9,0.287,0.181,0.296,0.094,127.2,,0.149,0.045,49.98,,88.9,
Cuyahoga,61,Ohio,975,583230,30.84,65.84,0.86,2.15,13.6,86.4,28.2,11.4,79.1,29237.83,62.45,28.95,0.15,2.4,1.5,4.55,27.35,11.2,1288204,52.2,16.4,0.485,24.45,35.95,18.2,26.6,0.1,5.9,13.25,0.476684,39.7,3.3,4.1,0.1,40.3,0.444,0.187,0.272,0.106,810.9,341,0.142,0.073,578.53,9.13,56.6,9.6
Defiance,61,Ohio,33,17795,64.5,29.68,0.81,4.3,12.2,87.8,16.3,6.6,75.15,26305.87,88.3,1.55,0.25,0.3,1.2,8.45,25.9,7.35,38776,41.2,12.6,0.402,17.7,26.25,13.75,23.2,0.35,9.15,27.35,0.78722875,38.6,4.1,4,0.06,40.5,0.336,0.214,0.283,0.107,339.5,56.2,0.138,0.073,71.94,,63.4,6.3
Dorchester,61,South Carolina,81,62463,55.92,38.44,0.71,3.28,11.1,88.9,24.1,8,77.85,29869.78,66.7,25.3,0.55,1.45,2.15,3.8,20.1,9.7,129498,56.7,11.2,0.395,16.15,32,15.75,26.45,0.35,12.85,12.65,0.51104475,35.7,3.9,3.8,0.09,40.9,0.346,0.192,0.29,0.103,573.5,215,0.171,0.073,502.83,5.3,55.2,6.4
Pennington,61,South Dakota,45,47741,62.43,29.48,0,6.99,8.6,91.4,27.8,9.6,74.6,24884.01,82.75,1.1,7.9,1.05,3.2,4,31.95,7.75,98925,42.4,14.1,0.454,21.05,34.3,17.35,26.6,0.35,11.45,9.9,0.6938525,36.7,3.2,3.1,0.07,51.6,0.368,0.212,0.271,0.087,532,,0.146,0.045,456.42,2.07,63.2,8.2
Sumter,61.1,Alabama,15,6391,24.74,74.15,0.22,0.89,24.6,75.4,12.8,5.3,80.3,17046.57,25.05,72.8,0.05,0.2,0.9,1,50.15,30,13515,78.8,37.5,0.512,55.15,20.2,17.25,25.8,1.85,7,27.9,0.5929195,36.9,4.3,5.4,0.14,33.8,0.618,0.17,0.401,0.16,979.4,292.2,0.179,0.116,322.68,,66.3,
Fannin,61.1,Georgia,12,11764,81.79,16.32,0,1.89,22.1,77.9,16.2,7.2,72.45,24243.27,96,0.25,0.45,0.6,1.15,1.55,18.25,13.1,23058,48.9,14.85,0.439,20.5,25.95,16.35,24.5,1.4,17.4,14.4,0.922035,47.2,4.8,5.3,0.09,57.5,0.362,0.267,0.29,0.132,88.6,75.9,0.248,0.096,424.75,,96.8,
Williamson,61.1,Illinois,65,31422,68.43,27.18,1.25,3.14,11.8,88.2,21.7,8,76.95,24587.28,92.4,3.55,0.3,0.75,1.3,1.75,23.3,10.35,65284,51.8,16.6,0.443,24.45,30.8,20.45,26.65,0.45,9.5,12.15,0.85557675,40.2,3.3,3.3,0.08,41.3,0.356,0.211,0.302,0.086,343.7,74.3,0.129,0.083,579.91,3.08,75.9,6.7
Miami,61.1,Kansas,49,14712,66.88,26.84,1.75,4.53,7.6,92.4,23,7.8,77.8,32241.56,93.85,1.4,0.45,0.3,1.65,2.35,11.35,7.95,31649,55.5,7.65,0.379,10.9,33.35,15.1,24.95,0.75,13.5,12.35,0.881832,39.7,2.9,2.6,0.06,28.5,0.273,0.147,0.307,0.087,177.3,33.8,0.109,0.063,169.94,,61.7,
Catahoula,61.1,Louisiana,25,4856,71.64,27.22,0.29,0.35,32.1,67.9,10.5,3.5,66.55,20881.57,68.5,29.6,0.5,0,0.35,1,30.85,24.5,10415,47.3,25.2,0.454,35.45,25.8,20.55,20.3,1.55,16.15,15.65,0.55697825,37.6,4.5,4.1,0.13,70.7,0.41,0.283,0.359,0.121,271.2,208.6,0.24,0.085,1649.2,,99.3,
Hickory,61.1,Missouri,11,4717,75.03,21.54,0.66,2.29,21.1,78.9,8.1,2,76.85,17620.55,91,0.25,1.7,0.25,6.2,0.6,25.75,9.1,9324,66.3,15.45,0.443,17,25.25,20.55,23.75,1.6,11.75,17.05,0.8322815,51.9,7.1,9.8,0.06,57.8,0.348,0.296,0.333,0.131,135,,0.245,0.124,24.69,,89.8,
Ocean,61.1,New Jersey,413,259592,65.53,31.53,0.78,1.76,10.9,89.1,24.3,7.8,79.45,35055.43,86.6,3.05,0.1,1.75,1,7.55,17.85,5.8,570997,57.6,8.45,0.426,14.05,33.75,17.1,28.5,0.1,11.4,9.15,0.75699375,42.4,3.4,3.5,0.06,19.1,0.205,0.173,0.264,0.111,127.4,120.3,0.127,0.103,120.14,1.52,40.9,3.7
Bladen,61.1,North Carolina,17,15743,54.06,44.6,0,1.34,26,74,9.8,2.4,75.5,23681.72,55.05,34.7,2.15,0.15,1.45,6.55,36.9,22.05,33801,37.3,24.8,0.48,34.55,26.25,16.7,19.5,4.3,12.1,21.15,0.42842425,39.9,4.7,4.2,0.1,52.6,0.483,0.206,0.361,0.147,552.6,288.6,0.217,0.124,370.11,11.22,96.5,12
Wyandot,61.1,Ohio,24,10396,70.66,23.89,0.8,4.08,12.4,87.6,13.4,5.3,77.5,27060.47,96.05,0.15,0.05,0.75,0.8,2.2,10.7,7.85,22557,44.6,8.35,0.383,11.55,24.45,14.6,19.95,0.3,10.5,30.2,0.923167,40.6,4,3,0.07,40.8,0.211,0.268,0.294,0.109,207.1,,0.138,0.073,35.36,,74.1,
Hutchinson,61.1,South Dakota,7,3365,74.8,20.56,0,3.33,19.5,80.5,21.7,5.1,81.4,24754.08,97.15,0.3,0.6,0.1,0.75,1.1,5.4,13.8,7316,31.8,10.2,0.459,11.4,38.6,15.3,16.8,5.9,6.45,17.05,0.9440355,46.5,1.6,1.5,0.05,12.5,0.25,0.101,0.294,0.097,68.9,,0.134,0.036,9.11,,62.3,
